,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
91,3,Sudden Drift,Large,Unimportant,Unobserved,866.1242479989921,0.125232812182197,13.45
92,3,Incremental Drift,Small,Important,Fully observed,9.81483878325538,0.013016179855587095,1.3
93,3,Incremental Drift,Small,Important,Half observed,25.168691204435774,0.013967630726984759,1.41
94,3,Incremental Drift,Small,Important,Unobserved,24.807000797442466,0.013976022357356569,1.41
95,3,Incremental Drift,Small,Medium,Fully observed,15.20887047466966,0.015393928853470348,1.55
96,3,Incremental Drift,Small,Medium,Half observed,16.529561522102224,0.013697967896081692,1.37
97,3,Incremental Drift,Small,Medium,Unobserved,16.148407115499342,0.013691063899970124,1.37
98,3,Incremental Drift,Small,Unimportant,Fully observed,10.295163068212641,0.013203836828564209,1.32
99,3,Incremental Drift,Small,Unimportant,Half observed,10.421979317442613,0.013356519814271222,1.34
100,3,Incremental Drift,Small,Unimportant,Unobserved,10.329330810088218,0.013325722541341437,1.33
101,3,Incremental Drift,Large,Important,Fully observed,10.11170457199403,0.01315631982435579,1.32
102,3,Incremental Drift,Large,Important,Half observed,322.9435758845207,0.014933035408154244,1.57
103,3,Incremental Drift,Large,Important,Unobserved,317.3670888256765,0.014941967584471144,1.57
104,3,Incremental Drift,Large,Medium,Fully observed,51.31565321702962,0.024624330286921774,2.51
105,3,Incremental Drift,Large,Medium,Half observed,135.49965620784496,0.0145082647421299,1.49
106,3,Incremental Drift,Large,Medium,Unobserved,136.12266193199437,0.014514343839765043,1.49
107,3,Incremental Drift,Large,Unimportant,Fully observed,11.340698359038733,0.013824502974233441,1.39
108,3,Incremental Drift,Large,Unimportant,Half observed,12.657190752955694,0.013611096794278115,1.36
109,3,Incremental Drift,Large,Unimportant,Unobserved,12.372173677494475,0.013592794835278381,1.36
110,3,No Drift,No Drift,No Drift,No Drift,10.284102766798767,0.013305917812477305,1.33
111,6,Sudden Drift,Small,Important,Fully observed,10.669294127230309,0.009525709068438824,0.95
112,6,Sudden Drift,Small,Important,Half observed,11.212675394878017,0.009925508238860636,0.99
113,6,Sudden Drift,Small,Important,Unobserved,5738.436782532558,0.26302601567409645,30.54
114,6,Sudden Drift,Small,Medium,Fully observed,9.97083222577012,0.011133836421939634,1.11
115,6,Sudden Drift,Small,Medium,Half observed,11.633441205732668,0.011677469104992013,1.17
116,6,Sudden Drift,Small,Medium,Unobserved,2271.4176255799325,0.1634442414279293,17.94
117,6,Sudden Drift,Small,Unimportant,Fully observed,9.799129007988409,0.012635621998291005,1.27
118,6,Sudden Drift,Small,Unimportant,Half observed,17.590287221477688,0.016570678328624154,1.66
119,6,Sudden Drift,Small,Unimportant,Unobserved,57.18609301606521,0.033002204355722826,3.37
120,6,Sudden Drift,Large,Important,Fully observed,10.473129493108685,0.004997012628232281,0.5
121,6,Sudden Drift,Large,Important,Half observed,11.715375141499928,0.0052309805577154655,0.52
122,6,Sudden Drift,Large,Important,Unobserved,116117.53511260806,0.607282879908617,88.23
123,6,Sudden Drift,Large,Medium,Fully observed,9.733539863522193,0.007187179205233243,0.72
124,6,Sudden Drift,Large,Medium,Half observed,11.941746720298578,0.007873314968686826,0.79
125,6,Sudden Drift,Large,Medium,Unobserved,45235.50109172709,0.4526602067552873,59.55
126,6,Sudden Drift,Large,Unimportant,Fully observed,10.710483193669157,0.01187698000680676,1.19
127,6,Sudden Drift,Large,Unimportant,Half observed,195.1044392094018,0.0489097075018566,4.74
128,6,Sudden Drift,Large,Unimportant,Unobserved,864.2225132489526,0.12500675143286874,13.42
129,6,Incremental Drift,Small,Important,Fully observed,10.285109209162092,0.013295092748555089,1.33
130,6,Incremental Drift,Small,Important,Half observed,25.087322934954244,0.013924976769450469,1.41
131,6,Incremental Drift,Small,Important,Unobserved,24.672285317758146,0.013931323225538129,1.41
132,6,Incremental Drift,Small,Medium,Fully observed,10.106683698803728,0.013182626032409585,1.32
133,6,Incremental Drift,Small,Medium,Half observed,16.353756627874628,0.013656383081658353,1.37
134,6,Incremental Drift,Small,Medium,Unobserved,16.57080066959631,0.013683813067131914,1.38
135,6,Incremental Drift,Small,Unimportant,Fully observed,9.936338793694908,0.013137869945124126,1.31
136,6,Incremental Drift,Small,Unimportant,Half observed,10.239840368038612,0.013292085323759055,1.33
137,6,Incremental Drift,Small,Unimportant,Unobserved,10.212587757060602,0.013288417789468633,1.33
138,6,Incremental Drift,Large,Important,Fully observed,10.102785425534599,0.013190985596003426,1.32
139,6,Incremental Drift,Large,Important,Half observed,323.0958875367146,0.014888893348044838,1.57
140,6,Incremental Drift,Large,Important,Unobserved,317.19588221071814,0.01489782051892825,1.57
141,6,Incremental Drift,Large,Medium,Fully observed,9.782011974114768,0.013079173316167383,1.31
142,6,Incremental Drift,Large,Medium,Half observed,135.20739533797712,0.014466014822579882,1.49
143,6,Incremental Drift,Large,Medium,Unobserved,138.54496875737743,0.014495757768649253,1.49
144,6,Incremental Drift,Large,Unimportant,Fully observed,9.995596047001461,0.013140786329418471,1.32
145,6,Incremental Drift,Large,Unimportant,Half observed,12.315716280823711,0.013548613763916048,1.36
146,6,Incremental Drift,Large,Unimportant,Unobserved,12.303517632860448,0.013554886442435483,1.36
147,6,No Drift,No Drift,No Drift,No Drift,10.141554824332502,0.013251734882340951,1.33
148,"[0, 3, 6]",Sudden Drift,Small,Important,Fully observed,15.544695494110178,0.011459620470896398,1.15
149,"[0, 3, 6]",Sudden Drift,Small,Important,Half observed,78.86545170619931,0.02522894757495895,2.52
150,"[0, 3, 6]",Sudden Drift,Small,Important,Unobserved,5825.1983652870595,0.2650646279166192,30.81
151,"[0, 3, 6]",Sudden Drift,Small,Medium,Fully observed,13.030348135321542,0.01237875014650294,1.24
152,"[0, 3, 6]",Sudden Drift,Small,Medium,Half observed,69.82104615595439,0.02852944426902643,2.82
153,"[0, 3, 6]",Sudden Drift,Small,Medium,Unobserved,2276.0113652306322,0.16261786292790506,17.85
154,"[0, 3, 6]",Sudden Drift,Small,Unimportant,Fully observed,10.888517602802013,0.013079462079845493,1.31
155,"[0, 3, 6]",Sudden Drift,Small,Unimportant,Half observed,19.66518152007602,0.017634228809472085,1.78
156,"[0, 3, 6]",Sudden Drift,Small,Unimportant,Unobserved,58.63460317766643,0.03333140121824388,3.41
157,"[0, 3, 6]",Sudden Drift,Large,Important,Fully observed,90.36448565670577,0.0141921913855842,1.43
158,"[0, 3, 6]",Sudden Drift,Large,Important,Half observed,245.26132182049525,0.017687581576594603,1.8
159,"[0, 3, 6]",Sudden Drift,Large,Important,Unobserved,116511.37943663225,0.6083843239956562,88.45
160,"[0, 3, 6]",Sudden Drift,Large,Medium,Fully observed,32.56701239951933,0.011911814413065437,1.2
