Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Important,Incremental Drift,Large,Unimportant,Training/Test,42.3718336177572,4.31,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Test,3327.46359062368,35.25,False
Linear regression,Important,No Drift,No Drift,No Drift,No Drift,23.54432532266338,3.72,False
Linear regression,Important,Sudden Shock,Small,Important,3 days,26.956660077136863,3.94,True
Linear regression,Important,Sudden Shock,Large,Important,3 days,56.96498943951335,4.42,True
Linear regression,Important,Sudden Shock,Small,Important,7 days,25.918783216131,3.85,True
Linear regression,Important,Sudden Shock,Large,Important,7 days,56.75229575210009,4.39,True
Linear regression,Medium,Sudden Drift,Small,Important,Training,27.042615584473165,3.63,False
Linear regression,Medium,Sudden Drift,Small,Important,Training/Test,28.10237578104488,3.83,False
Linear regression,Medium,Sudden Drift,Small,Important,Test,34.31223725816626,4.17,False
Linear regression,Medium,Sudden Drift,Small,Medium,Training,47.72338557910117,5.0,True
Linear regression,Medium,Sudden Drift,Small,Medium,Training/Test,73.59100935096197,5.94,True
Linear regression,Medium,Sudden Drift,Small,Medium,Test,106.30945873828377,7.45,True
Linear regression,Medium,Sudden Drift,Small,Unimportant,Training,24.85894211396167,3.73,False
Linear regression,Medium,Sudden Drift,Small,Unimportant,Training/Test,24.55547221011988,3.75,False
Linear regression,Medium,Sudden Drift,Small,Unimportant,Test,157.66683995136643,9.63,False
Linear regression,Medium,Sudden Drift,Large,Important,Training,35.34002652669222,3.33,False
Linear regression,Medium,Sudden Drift,Large,Important,Training/Test,43.14492705134635,3.92,False
Linear regression,Medium,Sudden Drift,Large,Important,Test,195.6429004404356,9.13,False
Linear regression,Medium,Sudden Drift,Large,Medium,Training,428.6943025289417,13.21,True
Linear regression,Medium,Sudden Drift,Large,Medium,Training/Test,737.914861646554,19.11,True
Linear regression,Medium,Sudden Drift,Large,Medium,Test,1218.4485877459977,26.17,True
Linear regression,Medium,Sudden Drift,Large,Unimportant,Training,24.72375285923757,3.6,False
Linear regression,Medium,Sudden Drift,Large,Unimportant,Training/Test,27.581833339128924,3.65,False
Linear regression,Medium,Sudden Drift,Large,Unimportant,Test,1735.034253519986,28.66,False
Linear regression,Medium,Incremental Drift,Small,Important,Training,26.638019924992456,3.6,False
Linear regression,Medium,Incremental Drift,Small,Important,Training/Test,32.699083724872104,4.1,False
Linear regression,Medium,Incremental Drift,Small,Important,Test,30.19111725165155,4.03,False
Linear regression,Medium,Incremental Drift,Small,Medium,Training,47.97316800971352,5.07,True
Linear regression,Medium,Incremental Drift,Small,Medium,Training/Test,92.05508813237223,6.9,True
Linear regression,Medium,Incremental Drift,Small,Medium,Test,87.25630472723354,6.61,True
Linear regression,Medium,Incremental Drift,Small,Unimportant,Training,24.57247071009392,3.72,False
Linear regression,Medium,Incremental Drift,Small,Unimportant,Training/Test,65.43507035078784,5.94,False
Linear regression,Medium,Incremental Drift,Small,Unimportant,Test,136.61390117011106,8.81,False
Linear regression,Medium,Incremental Drift,Large,Important,Training,34.994008247548145,3.33,False
Linear regression,Medium,Incremental Drift,Large,Important,Training/Test,62.25039603180392,4.97,False
Linear regression,Medium,Incremental Drift,Large,Important,Test,145.8328607251615,7.64,False
