Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Gradient boosted decision tree,None,Sudden Drift,Small,Important,Training,38.46959759728548,4.68,False
Gradient boosted decision tree,None,Sudden Drift,Small,Important,Training/Test,46.67314205857026,4.32,False
Gradient boosted decision tree,None,Sudden Drift,Small,Important,Test,87.80578933696721,5.86,False
Gradient boosted decision tree,None,Sudden Drift,Small,Medium,Training,39.07857754602525,4.88,False
Gradient boosted decision tree,None,Sudden Drift,Small,Medium,Training/Test,42.3275358256335,4.18,False
Gradient boosted decision tree,None,Sudden Drift,Small,Medium,Test,81.8709069479309,6.49,False
Gradient boosted decision tree,None,Sudden Drift,Small,Unimportant,Training,19.731899903423145,3.55,False
Gradient boosted decision tree,None,Sudden Drift,Small,Unimportant,Training/Test,17.068631570779694,3.14,False
Gradient boosted decision tree,None,Sudden Drift,Small,Unimportant,Test,16.081815142717574,2.95,False
Gradient boosted decision tree,None,Sudden Drift,Large,Important,Training,244.26332991318725,9.97,False
Gradient boosted decision tree,None,Sudden Drift,Large,Important,Training/Test,122.08765711032385,6.05,False
Gradient boosted decision tree,None,Sudden Drift,Large,Important,Test,1394.410514388796,24.44,False
Gradient boosted decision tree,None,Sudden Drift,Large,Medium,Training,223.11828138203697,9.43,False
Gradient boosted decision tree,None,Sudden Drift,Large,Medium,Training/Test,119.1592626334338,6.16,False
Gradient boosted decision tree,None,Sudden Drift,Large,Medium,Test,1134.6352841992366,25.25,False
Gradient boosted decision tree,None,Sudden Drift,Large,Unimportant,Training,29.817334031067592,4.19,False
Gradient boosted decision tree,None,Sudden Drift,Large,Unimportant,Training/Test,23.9912511650551,3.48,False
Gradient boosted decision tree,None,Sudden Drift,Large,Unimportant,Test,40.91834309866104,4.95,False
Gradient boosted decision tree,None,Incremental Drift,Small,Important,Training,40.26415741771502,4.8,False
Gradient boosted decision tree,None,Incremental Drift,Small,Important,Training/Test,59.4970300036548,4.83,False
Gradient boosted decision tree,None,Incremental Drift,Small,Important,Test,69.62722393229694,5.05,False
Gradient boosted decision tree,None,Incremental Drift,Small,Medium,Training,40.67552836538604,4.92,False
Gradient boosted decision tree,None,Incremental Drift,Small,Medium,Training/Test,46.26011993628117,4.36,False
Gradient boosted decision tree,None,Incremental Drift,Small,Medium,Test,66.03244583380581,5.62,False
Gradient boosted decision tree,None,Incremental Drift,Small,Unimportant,Training,19.554496750689545,3.55,False
Gradient boosted decision tree,None,Incremental Drift,Small,Unimportant,Training/Test,16.83816989695907,3.1,False
Gradient boosted decision tree,None,Incremental Drift,Small,Unimportant,Test,15.69249249777546,2.94,False
Gradient boosted decision tree,None,Incremental Drift,Large,Important,Training,260.2130206979551,10.24,False
Gradient boosted decision tree,None,Incremental Drift,Large,Important,Training/Test,921.6216734632594,18.73,False
Gradient boosted decision tree,None,Incremental Drift,Large,Important,Test,1079.2255579966106,20.27,False
Gradient boosted decision tree,None,Incremental Drift,Large,Medium,Training,241.7466423831698,9.79,False
Gradient boosted decision tree,None,Incremental Drift,Large,Medium,Training/Test,729.168154550242,18.97,False
Gradient boosted decision tree,None,Incremental Drift,Large,Medium,Test,882.8652807581485,21.06,False
Gradient boosted decision tree,None,Incremental Drift,Large,Unimportant,Training,32.60765296682111,4.45,False
Gradient boosted decision tree,None,Incremental Drift,Large,Unimportant,Training/Test,25.18063979901492,3.64,False
Gradient boosted decision tree,None,Incremental Drift,Large,Unimportant,Test,33.20030752062263,4.32,False
Gradient boosted decision tree,None,No Drift,No Drift,No Drift,No Drift,18.471483971284425,3.42,False
Gradient boosted decision tree,None,Sudden Shock,Small,Important,3 days,20.08445991078318,3.52,False
Gradient boosted decision tree,None,Sudden Shock,Large,Important,3 days,38.10097754126593,3.7,False
Gradient boosted decision tree,None,Sudden Shock,Small,Important,7 days,21.4878453212174,3.63,False
Gradient boosted decision tree,None,Sudden Shock,Large,Important,7 days,38.46773969995605,3.96,False
Gradient boosted decision tree,Important,Sudden Drift,Small,Important,Training,38.30472538174953,4.73,True
Gradient boosted decision tree,Important,Sudden Drift,Small,Important,Training/Test,51.88598166680247,4.47,True
Gradient boosted decision tree,Important,Sudden Drift,Small,Important,Test,92.56746931145985,6.27,True
Gradient boosted decision tree,Important,Sudden Drift,Small,Medium,Training,36.26447638140802,4.63,False
Gradient boosted decision tree,Important,Sudden Drift,Small,Medium,Training/Test,36.77594536142768,4.06,False
Gradient boosted decision tree,Important,Sudden Drift,Small,Medium,Test,68.55755439124714,5.84,False
Gradient boosted decision tree,Important,Sudden Drift,Small,Unimportant,Training,20.502460329222544,3.56,False
Gradient boosted decision tree,Important,Sudden Drift,Small,Unimportant,Training/Test,16.18956695084531,2.97,False
Gradient boosted decision tree,Important,Sudden Drift,Small,Unimportant,Test,13.519456648312056,2.73,False
Gradient boosted decision tree,Important,Sudden Drift,Large,Important,Training,252.5897076195253,9.94,True
Gradient boosted decision tree,Important,Sudden Drift,Large,Important,Training/Test,126.85761585653424,6.75,True
Gradient boosted decision tree,Important,Sudden Drift,Large,Important,Test,1417.7357061608045,24.98,True
Gradient boosted decision tree,Important,Sudden Drift,Large,Medium,Training,217.11474702569623,9.48,False
Gradient boosted decision tree,Important,Sudden Drift,Large,Medium,Training/Test,96.85483006135888,5.51,False
Gradient boosted decision tree,Important,Sudden Drift,Large,Medium,Test,1082.328899668897,24.6,False
Gradient boosted decision tree,Important,Sudden Drift,Large,Unimportant,Training,27.52444985565177,4.04,False
Gradient boosted decision tree,Important,Sudden Drift,Large,Unimportant,Training/Test,22.866003281719134,3.43,False
Gradient boosted decision tree,Important,Sudden Drift,Large,Unimportant,Test,34.37944515763725,4.54,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Important,Training,42.18545916232645,4.98,True
Gradient boosted decision tree,Important,Incremental Drift,Small,Important,Training/Test,67.0375225461953,5.16,True
Gradient boosted decision tree,Important,Incremental Drift,Small,Important,Test,74.23061402858795,5.41,True
Gradient boosted decision tree,Important,Incremental Drift,Small,Medium,Training,35.50906237210824,4.52,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Medium,Training/Test,55.55564481883117,4.89,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Medium,Test,55.3180092360659,5.04,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Unimportant,Training,19.415395901012356,3.49,False
