,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
0,,Sudden Drift,Small,Important,Fully observed,9.141616153094155,0.007014375611709955,0.007025738556925685
1,,Sudden Drift,Small,Important,Half observed,11.119193374830495,0.007827506432874498,0.007854449760250367
2,,Sudden Drift,Small,Important,Unobserved,7.084759809638298,0.006522711445764621,0.006541707520740364
3,,Sudden Drift,Small,Medium,Fully observed,8.195122369495468,0.007001356896168227,0.007012464389002289
4,,Sudden Drift,Small,Medium,Half observed,7.389682867795522,0.006500196024151799,0.006522015043173785
5,,Sudden Drift,Small,Medium,Unobserved,8.251662544159828,0.006836073834012097,0.0068475358490947495
6,,Sudden Drift,Small,Unimportant,Fully observed,7.779901672127141,0.0063847554687846255,0.006398682739407899
7,,Sudden Drift,Small,Unimportant,Half observed,10.780828152377431,0.007967627721790837,0.007983222640543393
8,,Sudden Drift,Small,Unimportant,Unobserved,9.058287429560147,0.006899010357754226,0.006929135466601911
9,,Sudden Drift,Large,Important,Fully observed,10.039522862324628,0.005208832510094807,0.005204183408004984
10,,Sudden Drift,Large,Important,Half observed,10.023280088143533,0.005354053033100912,0.005361501852193929
11,,Sudden Drift,Large,Important,Unobserved,8.89790634512267,0.005487150846703439,0.0055017507258184085
12,,Sudden Drift,Large,Medium,Fully observed,9.405973350414438,0.0061294430822570285,0.006147156597537002
13,,Sudden Drift,Large,Medium,Half observed,8.79041622870178,0.006156720670879566,0.0061655948579822355
14,,Sudden Drift,Large,Medium,Unobserved,9.881788731516187,0.006411443564170575,0.006431862716497204
15,,Sudden Drift,Large,Unimportant,Fully observed,11.050150615356326,0.005844781055623804,0.005845506967079384
16,,Sudden Drift,Large,Unimportant,Half observed,12.968115324789268,0.006456562009603424,0.006470771586399629
17,,Sudden Drift,Large,Unimportant,Unobserved,12.022891523981237,0.006488029100397353,0.006505049407123647
18,,Incremental Drift,Small,Important,Fully observed,8.705538365119521,0.007901748223117188,0.007928355776439923
19,,Incremental Drift,Small,Important,Half observed,7.517453997856493,0.007376519923532878,0.0073883894333478094
20,,Incremental Drift,Small,Important,Unobserved,137.33492617880333,0.013077599983379385,0.01359837039289945
21,,Incremental Drift,Small,Medium,Fully observed,8.274563685949714,0.007404056402769216,0.007436769785668963
22,,Incremental Drift,Small,Medium,Half observed,9.420928361248224,0.00814515442465501,0.008165999066125602
23,,Incremental Drift,Small,Medium,Unobserved,108.81337620973869,0.011580907283893965,0.01202661067917981
24,,Incremental Drift,Small,Unimportant,Fully observed,6.9901114586782915,0.006889446192079716,0.006905350249585474
25,,Incremental Drift,Small,Unimportant,Half observed,5.974796799953867,0.006436942933286869,0.00645217415999306
26,,Incremental Drift,Small,Unimportant,Unobserved,170.44551668586675,0.013465280465589934,0.014021868913637197
27,,Incremental Drift,Large,Important,Fully observed,5.338904566163277,0.006215756648545359,0.006231499605775225
28,,Incremental Drift,Large,Important,Half observed,9.36491010822489,0.008129834829850871,0.00816483211557489
29,,Incremental Drift,Large,Important,Unobserved,2112.8194551944375,0.02529858272175693,0.029752532774911952
30,,Incremental Drift,Large,Medium,Fully observed,8.287645945354072,0.0075375304907273795,0.007566816235904776
31,,Incremental Drift,Large,Medium,Half observed,6.160577307163587,0.0067440644314972625,0.006761097728536431
32,,Incremental Drift,Large,Medium,Unobserved,1736.7025996314603,0.02065902569161134,0.02406770483499386
33,,Incremental Drift,Large,Unimportant,Fully observed,8.008180701673789,0.007414292801036566,0.007436240318441639
34,,Incremental Drift,Large,Unimportant,Half observed,6.594428617707447,0.006548748362894996,0.006562311698621306
35,,Incremental Drift,Large,Unimportant,Unobserved,2660.4407940543947,0.02582650586411334,0.03040025981242605
36,,No Drift,No Drift,No Drift,No Drift,7.031498213289128,0.006821140104683164,0.006842185012763731
37,0,Sudden Drift,Small,Important,Fully observed,15.455123949139963,0.008917160809111181,0.008924797958786312
38,0,Sudden Drift,Small,Important,Half observed,15.192764942212994,0.008666682571499438,0.00866737687054374
39,0,Sudden Drift,Small,Important,Unobserved,11.695768129837406,0.007213728197117169,0.00723864298460469
40,0,Sudden Drift,Small,Medium,Fully observed,7.88951407773002,0.0065569773279115715,0.006569061174168045
41,0,Sudden Drift,Small,Medium,Half observed,8.606950358380855,0.006990517383714193,0.006999204885399206
42,0,Sudden Drift,Small,Medium,Unobserved,10.374503452761223,0.0075295234575935704,0.007565113807741581
43,0,Sudden Drift,Small,Unimportant,Fully observed,10.63381715851768,0.007829589579770875,0.007845847206444212
44,0,Sudden Drift,Small,Unimportant,Half observed,7.248707606386228,0.006090499741432373,0.006097015049470687
45,0,Sudden Drift,Small,Unimportant,Unobserved,8.186622339425277,0.006559808732141195,0.006577365214862217
46,0,Sudden Drift,Large,Important,Fully observed,34.07001813030903,0.009637874182094925,0.009670123340973823
47,0,Sudden Drift,Large,Important,Half observed,38.24929296683321,0.009753573566556909,0.009773554222535818
48,0,Sudden Drift,Large,Important,Unobserved,28.741745436479928,0.008636251468366295,0.008682349230245306
49,0,Sudden Drift,Large,Medium,Fully observed,6.544566454753381,0.005005902248535289,0.005018060073265816
50,0,Sudden Drift,Large,Medium,Half observed,8.469745929126189,0.005954009431819462,0.0059680360469591106
51,0,Sudden Drift,Large,Medium,Unobserved,10.640744996201896,0.006193611546200727,0.0062190151001607135
52,0,Sudden Drift,Large,Unimportant,Fully observed,11.861187613812012,0.00620700501055106,0.006207806273609734
53,0,Sudden Drift,Large,Unimportant,Half observed,11.025698963456817,0.005595294003241401,0.00560660276885854
