Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,Switched,MSE,SMAPE,Dropped drifting
Gradient boosted decision tree,Important,Incremental Drift,Small,Medium,Training/Test,False,25.15165655239728,2.77,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Medium,Test,False,27.013727161476343,2.89,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Unimportant,Training,False,19.744307128257898,2.45,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Unimportant,Training/Test,False,22.70497953337249,2.62,False
Gradient boosted decision tree,Important,Incremental Drift,Small,Unimportant,Test,False,24.223237223544885,2.76,False
Gradient boosted decision tree,Important,Incremental Drift,Large,Important,Training,False,404.4993208273047,9.22,True
Gradient boosted decision tree,Important,Incremental Drift,Large,Important,Training/Test,False,1241.634816370345,19.8,True
Gradient boosted decision tree,Important,Incremental Drift,Large,Important,Test,False,1549.0336063739148,21.58,True
Gradient boosted decision tree,Important,Incremental Drift,Large,Medium,Training,False,36.47204916222694,3.32,False
Gradient boosted decision tree,Important,Incremental Drift,Large,Medium,Training/Test,False,54.86201721415236,3.82,False
Gradient boosted decision tree,Important,Incremental Drift,Large,Medium,Test,False,63.559321903235926,4.18,False
Gradient boosted decision tree,Important,Incremental Drift,Large,Unimportant,Training,False,18.82144218523233,2.34,False
Gradient boosted decision tree,Important,Incremental Drift,Large,Unimportant,Training/Test,False,21.150120507138546,2.51,False
Gradient boosted decision tree,Important,Incremental Drift,Large,Unimportant,Test,False,24.638520072260608,2.76,False
Gradient boosted decision tree,Important,No Drift,No Drift,No Drift,No Drift,False,18.764589822437568,2.41,False
Gradient boosted decision tree,Important,Sudden Shock,Small,Important,3 days,False,23.390823237395505,2.62,True
Gradient boosted decision tree,Important,Sudden Shock,Large,Important,3 days,False,72.08561252841245,3.33,True
Gradient boosted decision tree,Important,Sudden Shock,Small,Important,7 days,False,22.41521326204229,2.52,True
Gradient boosted decision tree,Important,Sudden Shock,Large,Important,7 days,False,91.13926858428836,3.58,True
Gradient boosted decision tree,Medium,Sudden Drift,Small,Important,Training,False,47.03470818518061,3.77,False
Gradient boosted decision tree,Medium,Sudden Drift,Small,Important,Training/Test,False,47.40286584924392,3.76,False
Gradient boosted decision tree,Medium,Sudden Drift,Small,Important,Test,False,86.47791991893206,5.34,False
Gradient boosted decision tree,Medium,Sudden Drift,Small,Medium,Training,False,25.063480122946316,2.77,True
Gradient boosted decision tree,Medium,Sudden Drift,Small,Medium,Training/Test,False,21.131165236444467,2.51,True
Gradient boosted decision tree,Medium,Sudden Drift,Small,Medium,Test,False,21.904578484078687,2.47,True
Gradient boosted decision tree,Medium,Sudden Drift,Small,Unimportant,Training,False,20.302325139854773,2.5,False
Gradient boosted decision tree,Medium,Sudden Drift,Small,Unimportant,Training/Test,False,26.27525179263723,2.92,False
Gradient boosted decision tree,Medium,Sudden Drift,Small,Unimportant,Test,False,23.922892763512785,2.7,False
Gradient boosted decision tree,Medium,Sudden Drift,Large,Important,Training,False,353.88044631316944,8.63,False
Gradient boosted decision tree,Medium,Sudden Drift,Large,Important,Training/Test,False,95.11630845554792,4.17,False
Gradient boosted decision tree,Medium,Sudden Drift,Large,Important,Test,False,1753.7852095852602,24.22,False
Gradient boosted decision tree,Medium,Sudden Drift,Large,Medium,Training,False,38.71884157569631,3.41,True
Gradient boosted decision tree,Medium,Sudden Drift,Large,Medium,Training/Test,False,38.84289167720571,3.28,True
Gradient boosted decision tree,Medium,Sudden Drift,Large,Medium,Test,False,75.554753176857,4.59,True
Gradient boosted decision tree,Medium,Sudden Drift,Large,Unimportant,Training,False,21.77654576423438,2.57,False
Gradient boosted decision tree,Medium,Sudden Drift,Large,Unimportant,Training/Test,False,23.985134300541656,2.73,False
Gradient boosted decision tree,Medium,Sudden Drift,Large,Unimportant,Test,False,23.388352698915966,2.61,False
Gradient boosted decision tree,Medium,Incremental Drift,Small,Important,Training,False,49.31317109236371,3.82,False
Gradient boosted decision tree,Medium,Incremental Drift,Small,Important,Training/Test,False,65.35364040342849,4.58,False
Gradient boosted decision tree,Medium,Incremental Drift,Small,Important,Test,False,73.1417235330328,4.76,False
Gradient boosted decision tree,Medium,Incremental Drift,Small,Medium,Training,False,22.229317836596618,2.54,True
Gradient boosted decision tree,Medium,Incremental Drift,Small,Medium,Training/Test,False,20.912055632908064,2.45,True
Gradient boosted decision tree,Medium,Incremental Drift,Small,Medium,Test,False,21.923115497157276,2.49,True
Gradient boosted decision tree,Medium,Incremental Drift,Small,Unimportant,Training,False,19.94553286680598,2.42,False
Gradient boosted decision tree,Medium,Incremental Drift,Small,Unimportant,Training/Test,False,25.644452721394053,2.81,False
Gradient boosted decision tree,Medium,Incremental Drift,Small,Unimportant,Test,False,23.979856671970083,2.71,False
Gradient boosted decision tree,Medium,Incremental Drift,Large,Important,Training,False,398.3996501772223,9.17,False
Gradient boosted decision tree,Medium,Incremental Drift,Large,Important,Training/Test,False,1173.1517983182378,19.26,False
Gradient boosted decision tree,Medium,Incremental Drift,Large,Important,Test,False,1369.195166701246,19.99,False
Gradient boosted decision tree,Medium,Incremental Drift,Large,Medium,Training,False,43.04946593492198,3.59,True
Gradient boosted decision tree,Medium,Incremental Drift,Large,Medium,Training/Test,False,58.36151024823758,4.0,True
Gradient boosted decision tree,Medium,Incremental Drift,Large,Medium,Test,False,64.91484447465808,4.15,True
Gradient boosted decision tree,Medium,Incremental Drift,Large,Unimportant,Training,False,21.11681328278685,2.51,False
