Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Important,Incremental Drift,Small,Unimportant,Training/Test,34.09964612338023,3.43,False
Linear regression,Important,Incremental Drift,Small,Unimportant,Test,32.930738030951375,3.41,False
Linear regression,Important,Incremental Drift,Large,Important,Training,662.9679752676261,12.73,True
Linear regression,Important,Incremental Drift,Large,Important,Training/Test,1664.915546822976,23.81,True
Linear regression,Important,Incremental Drift,Large,Important,Test,1580.7015984758366,22.3,True
Linear regression,Important,Incremental Drift,Large,Medium,Training,38.87004841147207,3.22,False
Linear regression,Important,Incremental Drift,Large,Medium,Training/Test,45.3532558882268,3.34,False
Linear regression,Important,Incremental Drift,Large,Medium,Test,80.12144585347495,4.85,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Training,33.944319814537955,3.35,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Training/Test,38.17530402272431,3.44,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Test,33.974083352322346,3.28,False
Linear regression,Important,No Drift,No Drift,No Drift,No Drift,34.03964276484049,3.49,False
Linear regression,Important,Sudden Shock,Small,Important,3 days,38.658735451121935,3.69,True
Linear regression,Important,Sudden Shock,Large,Important,3 days,78.98498067291061,4.02,True
Linear regression,Important,Sudden Shock,Small,Important,7 days,36.96297484937627,3.58,True
Linear regression,Important,Sudden Shock,Large,Important,7 days,80.57971284193114,4.05,True
Linear regression,Medium,Sudden Drift,Small,Important,Training,37.301505450219786,3.39,False
Linear regression,Medium,Sudden Drift,Small,Important,Training/Test,34.440198123312825,3.24,False
Linear regression,Medium,Sudden Drift,Small,Important,Test,119.7820797365259,6.2,False
Linear regression,Medium,Sudden Drift,Small,Medium,Training,41.0209609823268,3.63,True
Linear regression,Medium,Sudden Drift,Small,Medium,Training/Test,40.98810375941461,3.74,True
Linear regression,Medium,Sudden Drift,Small,Medium,Test,47.97206913979296,4.07,True
Linear regression,Medium,Sudden Drift,Small,Unimportant,Training,34.0217180382952,3.43,False
