,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
125,6,Sudden Drift,Large,Medium,Unobserved,9.200752484713393,0.010770331349083128,1.0845470773704022
126,6,Sudden Drift,Large,Unimportant,Fully observed,8.751074354735168,0.012848920499313876,1.2904043788543547
127,6,Sudden Drift,Large,Unimportant,Half observed,10.476520192240404,0.013975777103019558,1.4070683461945859
128,6,Sudden Drift,Large,Unimportant,Unobserved,9.47124355017192,0.013063167164252702,1.3167974188859444
129,6,Incremental Drift,Small,Important,Fully observed,8.466485762517104,0.01327785633514972,1.3351233160479097
130,6,Incremental Drift,Small,Important,Half observed,9.81872184453875,0.014784164179074032,1.4896392516330044
131,6,Incremental Drift,Small,Important,Unobserved,84.48780919892357,0.024614104983419396,2.5645149410226544
132,6,Incremental Drift,Small,Medium,Fully observed,9.391479486497659,0.014117775692148346,1.4189547113815122
133,6,Incremental Drift,Small,Medium,Half observed,7.851959697430977,0.012411734508040926,1.2416014914518896
134,6,Incremental Drift,Small,Medium,Unobserved,28.874423485103762,0.019419834007612644,1.9757847529792705
135,6,Incremental Drift,Small,Unimportant,Fully observed,7.79770325305706,0.013611810562764424,1.3681456912933998
136,6,Incremental Drift,Small,Unimportant,Half observed,6.925322324176089,0.012392401497636896,1.2417387290075934
137,6,Incremental Drift,Small,Unimportant,Unobserved,14.029559721220771,0.015594290861780645,1.5730164906472826
138,6,Incremental Drift,Large,Important,Fully observed,8.750279006406405,0.013139146656948986,1.3244043354878932
139,6,Incremental Drift,Large,Important,Half observed,11.285277854714044,0.015461547721824157,1.556888572394087
140,6,Incremental Drift,Large,Important,Unobserved,1268.8901798640616,0.04333724003040194,5.165307212791577
141,6,Incremental Drift,Large,Medium,Fully observed,7.3828560612643805,0.012559582059371388,1.259695462758858
142,6,Incremental Drift,Large,Medium,Half observed,8.654681418706424,0.01376595748830454,1.379031960512531
143,6,Incremental Drift,Large,Medium,Unobserved,333.52708370106603,0.0317460768832235,3.467368138858625
144,6,Incremental Drift,Large,Unimportant,Fully observed,7.849411133011574,0.013750993018530744,1.3810990788622146
145,6,Incremental Drift,Large,Unimportant,Half observed,7.205022019423102,0.012802413613347923,1.2863162071736676
146,6,Incremental Drift,Large,Unimportant,Unobserved,77.7543388887202,0.019692878269101526,2.031959847269858
147,6,No Drift,No Drift,No Drift,No Drift,9.09523747270974,0.01414831641429146,1.4233913816642854
148,"[0, 3, 6]",Sudden Drift,Small,Important,Fully observed,10.822624619733173,0.012066544235826602,1.2123027361984025
149,"[0, 3, 6]",Sudden Drift,Small,Important,Half observed,10.55836230402017,0.012543315942455611,1.264357869239023
150,"[0, 3, 6]",Sudden Drift,Small,Important,Unobserved,15.086107249051604,0.013786568118946288,1.3951323430684681
151,"[0, 3, 6]",Sudden Drift,Small,Medium,Fully observed,10.222714213114624,0.013860997566359837,1.3918782940211822
152,"[0, 3, 6]",Sudden Drift,Small,Medium,Half observed,7.514518301534965,0.012166836714277485,1.221283773800372
153,"[0, 3, 6]",Sudden Drift,Small,Medium,Unobserved,6.471702631032332,0.010788679145720364,1.0836157940561444
154,"[0, 3, 6]",Sudden Drift,Small,Unimportant,Fully observed,6.493920737955466,0.011768610697485212,1.1824869266541154
155,"[0, 3, 6]",Sudden Drift,Small,Unimportant,Half observed,9.347181451419795,0.014353489631335127,1.444307298364066
156,"[0, 3, 6]",Sudden Drift,Small,Unimportant,Unobserved,8.336489114673386,0.013059498409047634,1.3125339757140209
157,"[0, 3, 6]",Sudden Drift,Large,Important,Fully observed,18.097607235823318,0.010500518132928453,1.05468921344881
158,"[0, 3, 6]",Sudden Drift,Large,Important,Half observed,21.166407592312225,0.0110987612922063,1.1142293481835561
159,"[0, 3, 6]",Sudden Drift,Large,Important,Unobserved,18.200517810400896,0.010938239367683294,1.1013282207875281
160,"[0, 3, 6]",Sudden Drift,Large,Medium,Fully observed,12.502955521647264,0.0127013077336696,1.2708962796301566
161,"[0, 3, 6]",Sudden Drift,Large,Medium,Half observed,8.227878751914934,0.009396262725411445,0.9399477525169385
162,"[0, 3, 6]",Sudden Drift,Large,Medium,Unobserved,9.542281718036165,0.01069715627013524,1.0732924119385532
163,"[0, 3, 6]",Sudden Drift,Large,Unimportant,Fully observed,7.950953306919257,0.011534704708026963,1.1604795319837646
164,"[0, 3, 6]",Sudden Drift,Large,Unimportant,Half observed,11.994107651014849,0.014948886732671236,1.5062462469757565
165,"[0, 3, 6]",Sudden Drift,Large,Unimportant,Unobserved,9.883727224464124,0.013783410628635738,1.3825574215083343
166,"[0, 3, 6]",Incremental Drift,Small,Important,Fully observed,8.756023624966762,0.013659681031412458,1.3702711596363593
167,"[0, 3, 6]",Incremental Drift,Small,Important,Half observed,8.574414343797809,0.014071920530285102,1.4105294906106514
168,"[0, 3, 6]",Incremental Drift,Small,Important,Unobserved,88.77862951931324,0.023696667022290084,2.481248412653737
169,"[0, 3, 6]",Incremental Drift,Small,Medium,Fully observed,9.399823346176195,0.014085469172499466,1.4189839311062253
170,"[0, 3, 6]",Incremental Drift,Small,Medium,Half observed,9.052944737596052,0.014505213720389815,1.4552465146607223
171,"[0, 3, 6]",Incremental Drift,Small,Medium,Unobserved,29.084600996625095,0.01827226204830358,1.8637626634692663
172,"[0, 3, 6]",Incremental Drift,Small,Unimportant,Fully observed,10.088025797148031,0.01453332653398695,1.4617207544550475
173,"[0, 3, 6]",Incremental Drift,Small,Unimportant,Half observed,7.394925474261642,0.012836233102172674,1.2910827239496074
174,"[0, 3, 6]",Incremental Drift,Small,Unimportant,Unobserved,12.054339349156333,0.014257444390907564,1.4391989531383056
175,"[0, 3, 6]",Incremental Drift,Large,Important,Fully observed,10.54442546181968,0.015157203685297266,1.521682262103546
176,"[0, 3, 6]",Incremental Drift,Large,Important,Half observed,7.623930495915944,0.013443627246931815,1.3490360685685552
177,"[0, 3, 6]",Incremental Drift,Large,Important,Unobserved,1289.269975241875,0.04228021945374667,5.07843939348848
178,"[0, 3, 6]",Incremental Drift,Large,Medium,Fully observed,7.099402649941765,0.012408827523962957,1.248037011379987
179,"[0, 3, 6]",Incremental Drift,Large,Medium,Half observed,8.64399954951899,0.013819939635155537,1.3935012355185734
180,"[0, 3, 6]",Incremental Drift,Large,Medium,Unobserved,337.54900152940417,0.030553425761616772,3.354667827109328
181,"[0, 3, 6]",Incremental Drift,Large,Unimportant,Fully observed,8.205460585734071,0.013571975164311056,1.3659712825294479
182,"[0, 3, 6]",Incremental Drift,Large,Unimportant,Half observed,7.88157532128983,0.012806164487524375,1.2837271493384006
183,"[0, 3, 6]",Incremental Drift,Large,Unimportant,Unobserved,72.9900392164344,0.018372846871916735,1.8983805166819647
184,"[0, 3, 6]",No Drift,No Drift,No Drift,No Drift,8.049710200719094,0.012764832184339023,1.2856870748449096
