LoadDate,Unnamed: 0,Group_Item,OrderQtyFirst,Year,Quarter,Month,Week,DayOfWeek,DayOfYear
2015-01-20 00:00:00+00:00,25767,5,26.0,2015,1,1,4,1,20
2015-01-20 00:00:00+00:00,43517,2,7.0,2015,1,1,4,1,20
2015-01-20 00:00:00+00:00,39437,1,20.0,2015,1,1,4,1,20
2015-01-21 00:00:00+00:00,40050,1,36.0,2015,1,1,4,2,21
2015-01-21 00:00:00+00:00,54170,3,98.0,2015,1,1,4,2,21
2015-01-21 00:00:00+00:00,34509,4,22.0,2015,1,1,4,2,21
2015-01-21 00:00:00+00:00,42767,2,17.0,2015,1,1,4,2,21
2015-01-21 00:00:00+00:00,25908,5,29.0,2015,1,1,4,2,21
2015-01-22 00:00:00+00:00,25623,5,60.0,2015,1,1,4,3,22
2015-01-22 00:00:00+00:00,39275,1,37.0,2015,1,1,4,3,22
2015-01-22 00:00:00+00:00,43146,2,14.0,2015,1,1,4,3,22
2015-01-22 00:00:00+00:00,54495,3,215.0,2015,1,1,4,3,22
2015-01-22 00:00:00+00:00,33145,4,26.0,2015,1,1,4,3,22
2015-01-23 00:00:00+00:00,42554,2,20.0,2015,1,1,4,4,23
2015-01-23 00:00:00+00:00,34220,4,44.0,2015,1,1,4,4,23
2015-01-23 00:00:00+00:00,38726,1,44.0,2015,1,1,4,4,23
2015-01-23 00:00:00+00:00,54798,3,166.0,2015,1,1,4,4,23
2015-01-23 00:00:00+00:00,26628,5,55.0,2015,1,1,4,4,23
2015-01-24 00:00:00+00:00,25307,5,2.0,2015,1,1,4,5,24
2015-01-24 00:00:00+00:00,34422,4,8.0,2015,1,1,4,5,24
2015-01-24 00:00:00+00:00,39521,1,6.0,2015,1,1,4,5,24
2015-01-24 00:00:00+00:00,43993,2,4.0,2015,1,1,4,5,24
2015-01-25 00:00:00+00:00,26176,5,10.0,2015,1,1,4,6,25
2015-01-26 00:00:00+00:00,55374,3,63.0,2015,1,1,5,0,26
2015-01-26 00:00:00+00:00,38800,1,53.0,2015,1,1,5,0,26
2015-01-26 00:00:00+00:00,26203,5,69.0,2015,1,1,5,0,26
2015-01-26 00:00:00+00:00,44091,2,31.0,2015,1,1,5,0,26
2015-01-26 00:00:00+00:00,34165,4,76.0,2015,1,1,5,0,26
2015-01-27 00:00:00+00:00,26449,5,34.0,2015,1,1,5,1,27
2015-01-27 00:00:00+00:00,43999,2,7.0,2015,1,1,5,1,27
2015-01-27 00:00:00+00:00,39824,1,14.0,2015,1,1,5,1,27
2015-01-27 00:00:00+00:00,33640,4,9.0,2015,1,1,5,1,27
2015-01-27 00:00:00+00:00,55349,3,43.0,2015,1,1,5,1,27
2015-01-28 00:00:00+00:00,26895,5,23.0,2015,1,1,5,2,28
2015-01-28 00:00:00+00:00,38822,1,37.0,2015,1,1,5,2,28
